"","GC124724","GC124725","GC124726","GC124727","GC124728","GC124729","GC124730","GC124731","GC124732","GC124733","GC124734","GC124735","GC124736","GC124737","GC124738"
"BT_1548",13734.505,18524.09,19630,18174.007,21609.873,16294.321,5530,8839,6093,534,320,536,832,356,610
"BT_1549",4702.899,6601.567,6975.747,9460.347,11473.065,8883.285,825.316,461.317,578.544,91,75,72,239,76,58
"BT_1550",4071.101,5929.433,6309.315,7577.08,7994.935,6064.35,3735.684,3586.683,3059.456,356,204,144,220,129,145
"BT_1551",10628.374,11191.739,10937.464,3490.669,3518,2928,246,262,192,0,33,0,57,22,37
"BT_1552",21086.425,23159.817,22236.575,4121.07,3656.65,2453,104,60,78,23,31,20,19,26,6
"BT_1553",3425.201,4349.137,4152.477,448.261,322.35,211,42,0,11,0,0,0,5,3,4
"BT_1554",812,929.993,910,4190,4310,3361,15038,15401,13385,376,525,336,1287,858,1110
"BT_1555",4622,7874,7973.719,51974.325,52885,37818,10135,4451,4447,548,711,389,972,461,968
"BT_1556",293,914,936.281,5834.125,5472,4133,409,227,383,43,49,86,38,40,21
"BT_1557",958,1859.591,1849.667,3452.407,3770.117,2800.62,1537.606,1859.392,1452.671,45,121.066,27,146,49,140
"BT_1558",4272.861,6199.664,6627.896,8929.565,10407.775,8013.387,4818.094,4496.751,3721.712,219,101.934,88,167,138,192
"BT_1559",1626.139,2099.489,2544.692,390.855,564.108,429.992,2196.3,2497.857,1569.616,124,42,66,68,71,51
"BT_1560",15904.694,19433.874,20848.562,6196.181,6222.162,4993.861,741.101,1688.42,947.439,260,141,213,454,216.001,285
"BT_1561",4587.306,6613.128,6857.173,4392.876,3847.838,2941.139,487.899,627.58,424.561,19,27,78,127,60.999,50
"BT_1562",673,1084,1157,1214,1026,844,218,295,221,16,60,46,76,57,76
"BT_1563",6100.946,9736.227,10224.38,1477.696,1489.613,1087.001,79.709,101,8,42,11,32,85,9,46
"BT_1564",3302.054,3786.078,4035.718,1087.304,1156.387,910.999,7.291,32,8,17,5,36,31,8,38
"BT_1565",129,65,84,9,9,7,14,12,0,10,0,0,0,0,0
"BT_1566",17606.712,30867.845,31993.513,8832,9438,7059,736,349,573,134,162,179,101,30,66
"BT_1567",7948.288,10540.294,11408.128,1833,2050,1567,357,502.029,408,74,46,32,46,16,40
"BT_1568",337.071,384.17,382.235,746.835,596.318,494.247,291.433,277.006,216.417,6.56,3,13.399,0,3,4
"BT_1569",801.929,1543.83,1477.777,2549.165,3389.682,2341.753,4041.635,3010.965,2101.583,466.44,322,297.601,111,56,38
"BT_1570",316,426.484,476,209,188,185.464,70,50,113,17,23,51,21,35,14
"BT_1571",12,34.516,40,23,5,14.536,0,0,0,0,0,0,0,0,3
"BT_1572",3505,5414,5386.002,3166,4560,4101,1695,1989,1218,303,250,408,1072,731,792
"BT_1573",3451,4409,4388.696,45928.052,49389,38934.765,835,925,684,187,87,144,298,216,150
"BT_1574",4308.012,4780.095,4957,1336,1241,1218,102,164,86,47,29,60,33,26,24
"BT_1575",11826.306,13949.847,12944.974,27831.946,27923.305,24340.211,70,293,121,25,12,0,40,47,39
"BT_1576",8211.435,14267.234,14465.845,67827.974,69648.429,53346.431,1854,1209,1345,95,165,190,376,200,275
"BT_1577",1011.116,1586.092,1392.454,6858.386,7110.987,5294.541,280,76,106,13,6,22,85,96,95
"BT_1578",898.132,953.837,981.591,1752.421,1822.771,1390.564,111.287,209.957,124.878,22,17,8,65,18,43
"BT_1579",8024.649,10372.431,10161.163,6772.67,7277.27,5522.86,2327.141,2334.724,1732.117,149,132.999,242.992,520,272,272
"BT_1580",2573.362,5969.13,5743.611,8626.428,8666.73,6492.072,127.572,133.319,125.005,14,1.001,26.008,121,63,77
"BT_1581",1216,1008.041,808,1342,932,781,93,26,99,35,46,13,119,83,76
"BT_1582",698,836,831,436,461,386,227,98,46,0,8,0,30,15,34
"BT_1583",3337,6302,7449,5982,7473,5120,12665,14561,11939,6318,4550,5818,2945,1853,2343
"BT_1584",16,72,51,64,60,38,0,0,10,0,3,0,5,0,10
"BT_1585",188,239,171,64,91,38,31,58,69,32,5,0,37,20,8
"BT_1586",36,32,53,8,21,6,0,33,10,0,0,16,2,9,0
"BT_1587",870.665,930.323,882.378,1143.35,997.049,905.536,386.165,567.454,283.948,42,32,60,123,40,63
"BT_1588",909.335,778.677,631.622,2178.65,1598.951,1379.464,693.835,555.546,593.052,12,53,59,51,38,46
"BT_1589",0,0,0,0,1,0,0,25,9,11,0,0,0,0,0
"BT_1590",456,283,296.095,350.004,379,308,729.764,1063.709,796.643,49,99,25,55,26,55
"BT_1591",130,144,154.905,155.996,84,118,389.236,610.291,394.357,24,31,14,37,60,59
"BT_1592",22586.646,31647.972,32252,19792,24456,19419,9110,12465,8641,923,785,711,904,495,603
"BT_1593",1961,2386,2250,2028,2022,1300,1043,1207,755,24,28,0,69,51,51
"BT_1594",838,994,741,601,466,461,7,69,29,17,15,13,66,49,45
"BT_1595",16818,25147.678,24136.165,26568.892,25392,20394,409,593,274,263,108,195,1305,490,595
"BT_1596",435,437,360,169,146,88,55,54,12,0,0,0,22,12,15
"BT_1597",1767.708,1644.757,1586.837,1597.743,1635,1270,147,168,191,26,8,0,44,8,36
"BT_1598",515.292,684.243,667.163,726.257,648,554,42,38,36,0,0,0,36,7,4
"BT_1599",1762.37,2277.92,2227.646,630.329,592,416,134,121.096,106,16,9,15,32,13,4
