"","GC124688","GC124689","GC124690","GC124691","GC124692","GC124693","GC124694","GC124695","GC124696"
"BT_1147",22216.011,20702,18556.998,1548,567,495,873,1715,1208
"BT_1148",2048.55,1838.749,1984.353,127,6,82,105,42,139
"BT_1149",3951.871,4769.573,4182.647,552.597,270,172,203,339,470
"BT_1150",854.627,738.678,797,80.403,37,23,79,80,25
"BT_1151",947.039,1125,1119.148,189,52,53,70,170,125
"BT_1152",4811.659,6108.832,5107.589,1242,705,385,119,1719,963
"BT_1153",13990.663,15424.186,15029.186,1521,853,559,97,708,358
"BT_1154",14768.983,12874.386,10588,2403,1358,914,932,1576,1122
"BT_1155",13410.543,12573.106,15447.079,332,92,139,110,356,252
"BT_1156",2105.722,2515.574,3057.112,49,13,27,4,131,40
"BT_1157",2988.178,3456.456,3751.635,149,42,20,71,169,74
"BT_1158",1553.887,1872.25,2228.993,61.357,17,62,35.544,108,91.379
"BT_1159",4844.382,6286.15,7127.644,310.643,145,166,98.456,264,312.621
"BT_1160",4038.19,5379.471,5564.575,162,88,133,84,152,131
"BT_1161",4712,4418,3512,202,39,98,180,173,115
"BT_1162",5805.585,6385.063,6486.814,107,30,47,47,98.929,34
"BT_1163",794.773,562.937,829.02,147,80,36,353,126.071,29
"BT_1164",631.916,493,768.695,81,52,0,156,32,35
"BT_1165",668.029,687.758,848.022,49,15,0,41,37,22
"BT_1166",106.973,62.242,114.409,6,14,0,20,0,0
"BT_1167",34,30,25.001,0,3,0,7,24,0
"BT_1168",56,61,18,26,4,0,4,15,53
"BT_1169",1,1,5,0,0,0,4,0,0
"BT_1170",28,44,47,32,23,0,5,12,0
"BT_1171",331,374,295,755,176,82,182,465,496
"BT_1172",274,355,271,74,35,6,13,35,46
"BT_1173",36,43,33,12,0,0,4,31,0
"BT_1174",0,5,5,0,3,0,1,0,0
"BT_1175",5059,4718,4422,598,359,201,276,388,160
"BT_1176",119,127,153,9,37,21,15,0,0
"BT_1177",233.27,255.347,215,78,14,0,13,10,36
"BT_1178",854.044,849.653,1006.32,364,164,68,132,155,77
"BT_1179",255.534,202,292.68,45,31,8,25,30,8
"BT_1180",102.152,59,112,62,33,29,72,80,32
"BT_1181",56.939,59,61,23,0,3,34,30,0
"BT_1182",103.061,116,174.949,35,14,0,29,0,0
"BT_1183",1740.987,1622,1583.051,459,206,150,95,221,137
"BT_1184",61.08,60,95,0,0,0,11,23,0
"BT_1185",409,436,563,286,65,30,321,97,175
"BT_1186",14278,14771,13695.502,2054,710,1142,1196,1354,1038
"BT_1187",324,299,309,782,79,114,140,60,15
"BT_1188",14,2,13,2,0,1,8,0,0
"BT_1189",15,10,12,16,12,33,0,0,21
"BT_1190",733,967,817,465,117,106,709,195,315
"BT_1191",237,187,177,52,50,44,51,40,38
"BT_1192",702,637,631,51,47,42,63,57,23
"BT_1193",1264.037,969,1329.713,49,19,18,77,74,34
"BT_1194",25197.31,29651.461,26750.742,4737.512,2357.834,2466,4605.566,4846.726,4171.897
"BT_1195",14343.996,11692.831,11827.957,256.488,214.166,301,386.434,471.274,245.103
"BT_1196",21213.69,23071.127,20695,16811.82,6638,5144,2909,15359,10461
"BT_1197",5264.31,4571,5717.087,2358.18,1156,768,1942,1322,696
"BT_1198",704.034,713.715,776.814,152.204,70,47,42,63,75
"BT_1199",1192.191,1336.601,1319.744,97.796,111,30,39,0,65.357
"BT_1200",6014.703,4137.684,5744.441,1033,448,222,359,178,166.643
"BT_1201",991,1372,1164,170,75,61,20,59,5
"BT_1202",5168.775,5774.882,5312.099,1647.967,679,571,207.797,958.336,439.871
"BT_1203",1918.226,1610.231,1907.901,296.033,209,147,123.203,152.664,120.129
"BT_1204",25761.264,23265.705,26199.472,2008.018,745,346,618,687.974,556.405
"BT_1205",38509.183,35898.566,32063.075,976.982,431,335,656,820.026,544.595
"BT_1206",3355.752,1412.214,2167.566,731,137,135,2332,1189,423
"BT_1207",1093.194,1240,1288.099,307,104,138,96,174,163
"BT_1208",17,35,24,51,4,0,62,15,52
"BT_1209",5695.702,5030.176,6288.067,564,135,102,309,291,290
"BT_1210",50945.744,51938.45,46513.888,1868.023,1026,639,541,539.381,546
"BT_1211",1153.611,1419.568,1570.895,351.977,131,31,120,123.619,38
"BT_1212",95,110,97,11,32,0,10,48,16
"BT_1213",185,169,173,34,9,25,8,0,0
"BT_1214",341.565,350,387.364,10,8,0,0,0,27
"BT_1215",1037.598,805,786.995,163,139,39,119,231,102
"BT_1216",2219.888,2152.456,2250.83,91,14,44,58,35,48
"BT_1217",195,204.024,264,66,0,13,24,54,8
"BT_1218",1805,1664,2150,162,202,100,322,330,66
"BT_1219",5007.186,4552.007,4217,969,294,198,279,672,640
"BT_1220",8281.352,8460.306,8101.76,2674.315,912,1101,1340,4310,3659.793
"BT_1221",91637.085,103103.873,87101.344,13423.685,7539,6088,2072,7588,6501.207
"BT_1222",83666.681,101349.094,83335.056,7185,3340,3064,1256,6948,5918
"BT_1223",5840,5365,5195,255,143,94,235,114,79
"BT_1224",11990.016,10177,10081,744,303,83,374,558,524
"BT_1225",2926.992,2847,2887,97,25,41,33,107,119
"BT_1226",3019.266,3015,3791,371,160,105,258,114,201
"BT_1227",10496.862,9440.006,9242.543,1106,182,200,747,858,691
"BT_1228",13399.041,14621.58,15574.635,832,405,320,224,650,431
"BT_1229",6176.727,7442.485,7254.365,417,277,230,179,369,210
"BT_1230",0,1,0,0,0,0,0,18,0
"BT_1231",51,28,30,67,10,17,38,29,8
"BT_1232",367,95,141,3,0,0,25,0,0
"BT_1233",1838,1971.92,1598.042,1653,473,354,893,510,837
"BT_1234",275,250,232,260,69,66,97,63,38
"BT_1235",417,428,416,239,65,69,50,106,63
"BT_1236",2503,2273.185,1671.045,332,104,128,230,187,195
"BT_1237",2813,2850.889,2558.955,917,209,197,442,698,652
"BT_1238",2597,2860.064,3189,234,83,126,114,244,237
"BT_1239",23050.981,35023.015,24086.838,6788,3515,3492,581,5000,5387
"BT_1240",2803,2363,2882,2082,798,423,260,313,135
"BT_1241",0,0,1,0,0,0,12,0,0
"BT_1242",6299,5968,5168,307,98,146,365,239,79
"BT_1243",55745.057,64080.307,55277.49,83558.248,11969.06,19137,236741.177,30170.672,42894.158
"BT_1244",16008.535,16191.548,14918.014,36174.752,8852.94,13144,68047.823,10872.328,17101.842
"BT_1245",0,0,0,18.086,0,0,27.004,0,0
"BT_1246",0,0,0,0,44.313,0,294.355,196.298,44.463
"BT_1247",1022,1003,903,2254,387,535,1360,703,824
"BT_1248",2245.57,2929.658,2274.652,647,97,161,210,179,158
"BT_1249",624.25,598.342,510.041,85,32,10,77.008,82,0
"BT_1250",1532.015,1797,1543.31,418,92,23,209.992,162,69
"BT_1251",188.165,183,215.996,65,18,51,19,73,0
"BT_1252",92.373,81.659,76.498,43,0,0,0,6,23
"BT_1253",76.465,72.341,53.051,31.999,0,0,15,44.998,0
"BT_1254",209.162,192,186.45,76.001,12,26,40,26.002,46
"BT_1255",795.613,777.081,737.411,1538.57,327.194,455,912.418,394,478.833
"BT_1256",83.4,45.919,64.589,104.43,108.806,46,80.582,0,6.167
"BT_1257",2948,3277.154,2445.243,8245,1340,969,1630,2077,2458
"BT_1258",383,484,446,735,138,120,59,69,122
"BT_1259",327271.027,218445.89,217981.784,22255,9251,6865,7972,15139,8657
"BT_1260",742,530,649,13,8,0,0,100,0
"BT_1261",156,102,126,108,18,36,62,96,31
"BT_1262",85,71,52,420,67,24,498,178,67
"BT_1263",299,247,243,176,41,90,161,227,158
"BT_1264",652,558,668,480,118,62,811,154,35
"BT_1265",359.629,437.423,322,46,9,33,36,6,8
"BT_1266",533.393,536.577,466,170,108,48,88,38,57
"BT_1267",4227.029,2925,2450.005,2017.991,952,713,8514,1613,1837
"BT_1268",1327.971,1462,1208.995,1261.009,275,434,1777,367,529
"BT_1269",274.053,263,284,1568,186,185,296,98,76
"BT_1270",18432.98,15680.828,13658,313,88,87,177,274,279
"BT_1271",6262.011,7883.678,8816.045,273,129,117,255,498,97
"BT_1272",157.997,170,187,78,75,14,52,84,12
"BT_1273",365.003,333,402,184,48,96,93,156,119
"BT_1274",360,274,278.999,54,11,13,11,53,37
"BT_1275",91,84,94.001,93,18,38,11,34,42
"BT_1276",172.889,162,159.984,7,0,0,0,1,7
"BT_1277",76,30,45.016,16,0,0,47,8,0
"BT_1278",16,2,7,7,0,0,0,0,0
"BT_1279",16,7,9,40,9,29,0,0,0
"BT_1280",19,19,14,26,0,0,11,15,0
"BT_1281",7,4,5,8,0,0,5,0,0
"BT_1282",13,8,6,1,0,0,4,0,0
"BT_1283",16,12,7,0,0,0,0,0,0
"BT_1284",21,14,7,15,0,0,6,0,0
"BT_1285",12,8,7,18,6,24,2,0,17
"BT_1286",19,9,6,22,0,0,27,21,0
"BT_1287",48,32,25,5171,3775,2372,1499,5874,2556
"BT_1288",1194.547,1602.445,1483.893,117,21,110,62,45,64
"BT_1289",816.896,789.927,834.729,35,0,0,22,0,22.294
"BT_1290",505.303,525.098,596.33,168.183,28,31,69.568,131.332,123.825
"BT_1291",3486.254,3755.531,3620.05,668.817,159,202,426.432,421.668,380.881
"BT_1292",23322.3,27362.216,28463.018,7088,1949,1647,709,1898,1927
"BT_1293",28886.334,27722.907,30544.923,7829.256,2197,2291,2023.54,4119,3053
"BT_1294",14462.411,15711.411,17266.535,3152.744,647,830,731.46,1578,1606
"BT_1295",4264.619,4911,4352.808,275,99,142,202,81,190
"BT_1296",6420.381,6288.139,5861.192,322,143,196,299,248,171
"BT_1297",2934.982,2532.514,1956.539,108,31,16,57,144.864,88.765
"BT_1298",17248.342,17929.81,14333.349,1111.306,344,688,678,1594.136,1256.235
"BT_1299",5550.565,6068.774,5668.973,504.696,74,213,90,348.864,199
"BT_1300",542.683,631.503,689.637,181.559,49,59,92,127.075,82
"BT_1301",737.604,576.497,634.503,190.44,61,88,48,81.06,53
"BT_1302",31.004,33,49.892,13,0,10,60,0,1
"BT_1303",16.996,16,20.108,43,0,30,27,12,9
"BT_1304",5,17,6,20,7,0,0,0,14
"BT_1305",15,21,11,43.256,39,0,119,27,0
"BT_1306",185,207,145,216.744,131,41,148,49,3
"BT_1307",3749,2377,2916,123,51,8,134,333,7
"BT_1308",564.454,850.757,908,252,9,51,493,69,68
"BT_1309",182,137.191,176.343,132.853,76.042,94,644.047,46.27,82
"BT_1310",2289.98,2823.18,2595.859,2545.147,484.958,699.515,1861.616,1007.73,1109
"BT_1311",59589.004,74512.584,70910.794,18584.09,6867.344,7881.485,16281.119,7376,9639
"BT_1312",119975.778,111691.521,93211.179,139947.91,29954.656,33871,241640.034,40875,49745
"BT_1313",4504.619,5729.596,5053.297,561.36,243,179,79,127,189
"BT_1314",7136.381,8319.404,6603.789,1975.64,690,633,675,1485,1149
"BT_1315",980.005,845,1071,154,67,46,72,77,35
"BT_1316",501.527,559.901,550.934,339.845,161.018,139.328,172,186.389,287
"BT_1317",888.473,1029.099,853.066,1186.155,387.982,357.672,330,772.611,576
"BT_1318",1553.014,1126,1061.916,104,28,37,102,39,20
"BT_1319",15,5,15.084,7,10,0,33,0,0
"BT_1320",566.128,470,444,214,32,128,1017,335,134
"BT_1321",1583.173,1767.795,1520.834,769.68,295,204,133.684,311.875,153.551
"BT_1322",2553.142,2527.668,2094.221,1333.32,376,222,534.316,674.125,798.449
"BT_1323",2639.743,2669.55,2022.619,541,170,119,167,122,151
"BT_1324",389.269,331,435.926,55,11,37,17,34,0
"BT_1325",6090.731,7080.218,8174.074,1026,360,474,194,770,579
"BT_1326",883,912.65,1194,95,17,46,46,34,36
"BT_1327",86.001,119.35,152,17,16,0,17,14,2
"BT_1328",5576.241,4400.121,4791.81,195,97,119,240,248.473,188
"BT_1329",10741.919,11534.879,12305.405,432,237,231,320,381.527,223
"BT_1330",3348.423,3881.901,4337.627,85,100,63,34,54.142,71
"BT_1331",2993.888,2704.833,3248.902,796.061,232,272.504,367.556,220.858,488.73
"BT_1332",1658.983,1512.049,1922.358,162.851,64.609,83.748,110.47,56,96.27
"BT_1333",6035.423,6262.218,7582.113,275.088,194.391,238.748,379.973,269,173
"BT_1334",5675,6095,5840,12300,4639,3253,3608,7074,5060
"BT_1335",2476,2249,2314,201,47,89,176,147,71
"BT_1336",11775,6359,5758,358,131,106,877,369,124
"BT_1337",1651,2255,1561.007,943,194,358,528,577,656
"BT_1338",222,230,282.427,199,40,86,120,49,88
"BT_1339",536.002,762.8,785.903,905,212,284.603,538.004,256,173
"BT_1340",500.088,632.982,568.661,1220.989,114,192.397,612.622,824.983,569.722
"BT_1341",1626.979,2007.355,2398.896,1366.011,269,479,407.339,430.017,526.278
"BT_1342",727.135,813.404,971.115,247,156,54,116.286,87,192
"BT_1343",342.053,472.244,505.917,226.195,33.66,89,207.749,69,104
"BT_1344",913.919,1247.748,968.833,709.62,126.34,156,323.763,265.037,196.647
"BT_1345",1279.847,1504.884,1238.531,557.557,80.394,99,275.247,303.973,307.353
"BT_1346",1513.348,1885.489,1507.446,1099.334,318.606,311,884.161,781.991,630
"BT_1347",1828.253,1584.189,1519.167,1807.078,246,398,399.324,1412,478
"BT_1348",971.515,828.405,817.309,695.847,66.917,287,648.902,921.47,454
"BT_1349",662.649,983.426,1026.877,560.098,204.083,200,61.603,326.53,360
"BT_1350",947.735,1090.805,1278.677,479.548,206.019,148,129,209.267,84.691
"BT_1351",1217.267,1434.732,1580.895,575.724,157.981,144,196,223.733,226.309
"BT_1352",849.675,1251.994,1100.918,943,150,125,479.079,658,499
"BT_1353",2552.989,2957.573,2804.182,5490.905,1299.797,1409.346,836.853,4423.438,2518.448
"BT_1354",1721.931,2047.501,1748.557,1228.418,200.203,294.654,788.068,475.562,335.552
"BT_1355",2113.2,2573.553,2859.257,2513.504,300,496,459,1026,877.999
"BT_1356",32897.816,30095.361,31454.034,1550.19,618,656,680,1132,1114.001
"BT_1357",103082.543,69491.316,59134.936,26057.374,38432.954,24794.973,39980.735,26761.479,13695.783
"BT_1358",28941.017,25427.48,22929.595,21173,7918,6481,10268,14970,11159
"BT_1359",15020.909,16537.086,14121.565,2037,687,721,1007,2174,1831
"BT_1360",5932,5736.319,5889.523,118,46,13,132,135,78
"BT_1361",13361.222,15582.76,13871.388,825,352,211,317,963,709
"BT_1362",45524.792,48272.665,38266.035,7211.025,2743,2566,2261.871,3966,2819
"BT_1363",2399.8,2657.057,2445.258,214.975,103,165,122.129,221,90
"BT_1364",11721.703,11123.523,12161.563,1667,493,496,895,2084,1025
"BT_1365",3364.96,3080,4108.863,367,132,79,192,248,331
"BT_1366",13309.133,12526.994,10462.249,554,215,157,119,208,224
"BT_1367",4771.1,4553.819,4557.821,643.179,274,206.482,188,550.967,321
"BT_1368",33228.362,33527.214,31478.333,2074.821,693,734.518,2104,1765.033,1644
"BT_1369",5858.764,5031.968,5942.299,1182,695,323,412,321.786,406
"BT_1370",18549.756,15728.594,15068.698,1377,255,366,626,687.214,542
"BT_1371",2644.009,3026.825,3090.699,887,384,283,219,656,602
"BT_1372",248.991,337.175,349.206,30,25,16,19,33,19
"BT_1373",48517.337,45942.158,56688.88,2002,1821,1200,3067,2583,1081
"BT_1374",4731.764,4241.999,4357.24,161,75,56,159,108,100
"BT_1375",15552.261,15474.207,16233.111,1169,386,333,722,796,649
"BT_1376",13933.513,12652.39,12377.561,2319.83,901,769,1234,3070.575,1781.14
"BT_1377",12253.243,10037.844,9535.949,2129.255,515,330,954,1621.425,1094.86
"BT_1378",2520.219,2657.357,2763.001,67,35,23,55,65,128
"BT_1379",1845.91,2103,1712.056,186,67,83,98,188,172
"BT_1380",32397.625,44253.056,32521.704,851,115,163,113,322,323
"BT_1381",4859.482,5412.589,4663.482,266,109,95,31,189,51
"BT_1382",495,731,610,571,141,142,154,114,152
"BT_1383",2073,2111,2497,341,77,186,276,222,268
"BT_1384",26,16,30,5,6,0,0,0,0
"BT_1385",138,164,148,80,18,0,42,51,26
"BT_1386",149,103,127,11,9,0,3,0,0
"BT_1387",624,731,622,97,42,0,18,65,0
"BT_1388",221.441,209,231,25,5,8,117,16,9
"BT_1389",186.108,237.604,188.668,42.565,27,0,9,39,9.315
"BT_1390",693.496,900.509,755.428,183.435,125,70,16,20,19.685
"BT_1391",27569.48,32242.292,39495.702,3107,1464,1574,766,2672,2024
"BT_1392",201,193,149,0,0,0,9,1,10
"BT_1393",1151,1003,1021,2291,1127,666,295,2091,1325
"BT_1394",21,15,20,14.682,20,0,14,11,9
"BT_1395",81,103,113,6.318,0,0,7,16,16
"BT_1396",496,442,488,268,92,108,53,124,126
"BT_1397",3116.317,2520.077,2729.429,357,168,114,1583.964,441,146
"BT_1398",976.243,1126.496,932.632,163,20,12,40.036,40,68
"BT_1399",511.44,605.427,495.938,261,142,101,292,267,129
"BT_1400",543,439.431,478,248,224,102,1444,267,178
"BT_1401",108,112.569,126,40,0,33,18,19,0
"BT_1402",58,69,59,42,9,26,0,0,0
"BT_1403",679,860,924,168,40,77,43,102,51
"BT_1404",158,164,136,419,116,56,47,68,66
"BT_1405",10,2,1,4,0,0,16,0,0
"BT_1406",273.868,217.88,281.82,56,25,0,52,19,0
"BT_1407",5822.132,5080.774,4189.18,846,160,223,231,818,481
"BT_1408",1080,1142,1351,224,86,103,70,151,153
"BT_1409",109.492,66,111.367,35.988,8,10,17,48,0
"BT_1410",145.508,176,171.633,46.012,8,0,17,52,31
"BT_1411",425,347,325,432,282,200,143,262,189
"BT_1412",1426,2265,1765,909,229,231,157,276,597
"BT_1413",386,187,232,38,8,0,77,0,0
"BT_1414",203.628,190,136,125,1,43,47,60,113
"BT_1415",100.372,112,96.167,39,7,0,0,10,21
"BT_1416",3562.354,3645.19,2630.296,1094,259,203,392,573,504
"BT_1417",2839.544,2978.81,2205,328,44,82,78,199,201
"BT_1418",129,113,92,24,0,0,14,0,0
"BT_1419",245.542,188.946,190.058,37,0,0,102.219,0,25
"BT_1420",51123.164,43843.969,30813,53148,13169,14049,40347.781,15145,13916.009
"BT_1421",15176.312,12833.647,11783.979,3144,476,387,421,344,427.991
"BT_1422",214.061,140.617,170.547,96.786,21,22,166.063,44.156,43
"BT_1423",88.939,83.383,109.488,50.214,37,0,103.937,16.844,4
"BT_1424",360,462,392,46,20,0,15,26,0
"BT_1425",263,337,325,165,31,118,93,53,55
"BT_1426",2,7,4,13,0,0,41,0,1
"BT_1427",58,63,53,3,7,19,41,11,0
"BT_1428",715,772,696,24,26,7,149,22,0
"BT_1429",38,37,43,37,0,0,8,31,0
"BT_1430",37954.334,32307.145,30906.236,40136,10012,8426,7307,21316,14383
"BT_1431",2932.012,3118,2284,1591,716,632,456,496,590
"BT_1432",950.92,1157.915,1062.038,317,160,250,75,246,221
"BT_1433",300.864,374.085,352.581,256,92,83,24,262,156
"BT_1434",353.215,385,359.381,543,144,124,41,182,174
"BT_1435",178265.869,108909.864,97577.773,692,339,502,8570,2023,901
"BT_1436",199,237,229.003,19,0,38,6,0,0
"BT_1437",44441.51,42683.383,30347.691,12963,3631,2889,4931,2164,2185
"BT_1438",190,141,226,0,0,24,9,0,11
"BT_1439",41701.305,40846.727,43280.069,934.877,260,190,345.691,681,376
"BT_1440",60442.22,73224.807,71422.509,2145.123,908,681,1331.309,2013,1197
"BT_1441",446,391,462.71,28,37,28,19,61,18
"BT_1442",5887.348,5099.67,6359.438,96,32,0,8,108,87
"BT_1443",329.228,410.866,511.694,31,0,0,8,0,0
"BT_1444",156.423,181.463,211.158,6,0,0,10,14,0
"BT_1445",96,86,101,4,0,0,4,40,29
"BT_1446",133,148,113,2,0,0,0,16,14
"BT_1447",14145.46,13071,11447.728,1574,791,393,384,1791,671
"BT_1448",1017,844,771,88,22,56,46,96,50
"BT_1449",6094.395,5592,5372.764,592,233,165,311,473.722,446
"BT_1450",25930.284,25818.494,20500.83,2858,2008,1011,472,2916.278,1412
"BT_1451",5656.182,6247.518,6552.258,42,21,0,30,73,82
"BT_1452",10394.081,9932.482,12254.836,282,115,277,392,266,204
"BT_1453",13352,16684,14139,771,350,137,572,365,439
"BT_1454",293,413,299.348,100,38,79,75,46,13
"BT_1455",508,608,565.652,328,149,125,297,139,95
"BT_1456",1816,1361,1742,957,348,327,1129,1392,721
"BT_1457",84,99,124.569,57,6,5,8,33,0
"BT_1458",194,263.255,231.431,9,14,0,16,13,0
"BT_1459",728,950.745,874,263,54,53,26,73,54
"BT_1460",242,229,233,75,41,14,5,11,0
"BT_1461",30,45,21,21,19,16,0,0,0
"BT_1462",36,10,41,23,27,14,64,3,0
"BT_1463",104,122,122,153,23,75,13,2,0
"BT_1464",166,131,159,33,19,10,26,21,0
"BT_1465",1475.302,1307,1113.824,496.981,120,181,201,375.021,183
"BT_1466",197.169,159,167.176,59.019,25,0,16,69.979,28
"BT_1467",55,69,54,9,8,0,6,11,0
"BT_1468",32,18,18,8,0,0,4,0,0
"BT_1469",702,606,650.028,265,123,154,204,343,200
"BT_1470",9,6,15,0,0,0,3,5,0
"BT_1471",3678.084,4813.241,4860.15,173,44,89,45,154,62
"BT_1472",7961.916,5468.432,6000.582,60,33,35,18,62,28
"BT_1473",1817.779,1817.104,1497.411,148,21,37,15,83,122
"BT_1474",5722.161,5503.896,4514.589,273,48,83,123,360,243
"BT_1475",4211.166,4349.197,3917.086,98,54,0,79,155,19
"BT_1476",7451.834,8251.803,7643.026,180,80,119,57,156,58
"BT_1477",17144.705,13135,13227.686,1844,517,456,2882,1403,1176
"BT_1478",458,548,585,80,7,12,139,60,83
"BT_1479",7894.867,6873.073,7179.204,297,168.565,196,213,247,276
"BT_1480",2417.808,2670.381,2592.688,1720,373.435,360,179.457,566,367
"BT_1481",48107.565,48338.117,39937.744,5314,2112,1490,1907.543,2462,1787
"BT_1482",1598.696,1600.53,1328.391,519,203,267,158,204,50
"BT_1483",901.304,814.676,1016.609,27,22,10,10,62,51
"BT_1484",6275.019,6891,6859.113,5377,3273,2192,1654,3849,1828
"BT_1485",641,528,796,175,89,53,22,106,59
"BT_1486",25675.436,24445.212,24161.575,2853.041,407,487,1571,2531,2033
"BT_1487",2009.812,2202.318,3105.242,204.959,96,106,228,198,112
"BT_1488",2820.568,2558.013,2755,194,72,75,176,357,330
"BT_1489",3922.499,3505.689,4732.648,244,44,49,155,240,54
"BT_1490",7630.703,7091.208,7625.86,313,100,83,142.446,279,206
"BT_1491",1400.272,1634.09,1847.493,118,23,44,104.554,119,139
"BT_1492",310,257,378,389,247,68,514,220,112
"BT_1493",1950.316,1799.978,1813.166,56.408,26,11,92.069,61,60.033
"BT_1494",16592.585,11477.022,10787.834,114.592,96,49,745.931,461,158.967
"BT_1495",2587.137,2679,2548.133,128,37,70,101,121,91
"BT_1496",4309.791,4116,4349.867,108,45,30,54,39,65
"BT_1497",3416.692,4147,4382.179,1286,275,230,136,267,174
"BT_1498",1500.308,1767,1774,791,187,148,181,219,135
"BT_1499",3315,2934.205,3287,354,151,38,1438,306,372
"BT_1500",21206.113,21430.397,22277.009,1337,387,419,822,1020,794
"BT_1501",104,90,66,18,0,0,35,4,0
"BT_1502",119.002,105,136,42,17,0,115,61,0
"BT_1503",1192,1430,1169,646,111,173,9,34,52
"BT_1504",27,9,16,0,10,0,5,0,7
"BT_1505",84,97,82,89,13,35,34,89,84
"BT_1506",1,10,8,0,0,0,2,0,0
"BT_1507",540,499,563,173,69,49,305,67,43
"BT_1508",3,2,5,9,0,0,1,10,0
"BT_1509",4468.757,5094.709,3951.616,836.301,234.888,252.712,99.932,262.659,174.706
"BT_1510",1663,1336,1266,1571,387,252,224,428,267
"BT_1511",32,22,22,0,0,0,21,9,0
"BT_1512",358,383,290,102,26,16,104,58,38
"BT_1513",4219.485,4332.968,3809.384,428.699,138.112,83.288,85.068,82.341,149.294
"BT_1514",0,0,0,0,0,11,0,0,0
"BT_1515",0,0,5,0,0,0,0,0,0
"BT_1516",42,63,40,7,0,0,0,0,0
"BT_1517",241,253,221,225,279,247,332,694,235
"BT_1518",66,24.836,66.773,355,106,225,60,707,232
"BT_1519",104,78.164,68.227,108,39,0,50,89,88
"BT_1520",1,1,1,0,0,0,0,0,0
"BT_1521",600.147,673.324,793.513,31,15,6,10,31,21.003
"BT_1522",2363.248,2748.086,2994.073,91,50,13,17,190,73.997
"BT_1523",399.707,602.187,604.695,9,0,0,1,0,0
"BT_1524",493.121,771.243,829.684,30,0,0,5,67,6
"BT_1525",638.255,968.048,1065.5,30,46,40,0,10,50
"BT_1526",21312.487,27217.967,26910.26,2094,844,604,503,1141,1198
"BT_1527",1187.974,928,881.113,70,30,31,73,68,19
"BT_1528",667,818,932.888,105,7,49,47,109,55
"BT_1529",5226.064,4848,4803.705,672,170,337,171,493,379
"BT_1530",4055,5004,4526.295,195,72,58,135,164,80
"BT_1531",1887.876,1532,1518.858,224,38,60,69,154,86
"BT_1532",304.553,432.937,383,87,0,28,47,34,31
"BT_1533",331.913,467.061,393,81,0,12,37,5,13
"BT_1534",54.672,81.001,80,28,1,14,17,2,0
"BT_1535",266.114,285.558,288,53,16,0,1,22,33
"BT_1536",1851.748,2274.405,3195,163,44,13,11,214,164
"BT_1537",78624.542,80379.45,82166.947,1700,646.218,654,619,1942,1062
"BT_1538",3084.263,3497.377,3267.86,426,170.782,249,109,209,103
"BT_1539",3411.823,3238.004,2719.79,880,528,474,359,467,285
"BT_1540",513.204,335.98,636.975,130,37,77,46,124,30
"BT_1541",163.973,134.016,178.233,72,7,33,30,20,12
"BT_1542",105046.09,98113.059,89199.81,3112,2101,1283,2775,3649,1883
"BT_1543",3564.649,4755,3415.04,937,125,160,234,454,251
"BT_1544",3527.86,2948.644,3183.841,1028.834,317,170,1385,1940,1189
"BT_1545",193.557,161.475,166.159,95.166,8,0,65,16,0
"BT_1546",14,15,27,36,6,20,25,27,13
"BT_1547",337,298,318.001,75,0,0,71,46,16
"BT_1548",15123.017,16782,17398,5712,2536,1853,565,1776,1879
"BT_1549",6790.967,7120.434,7143.495,322.98,426,378,528.725,215,241
"BT_1550",6757.371,7872.076,7053.953,2107.02,728,558,198.275,551,399
"BT_1551",2498.59,2492.827,3591.518,141,67,46,33,56,85
"BT_1552",2454.493,1930.591,2450.67,74,0,39,97,114,37
"BT_1553",272.117,280.581,330.813,3,7,0,8,29,9
"BT_1554",3348,2717,3296,7269,2212,1755,684,2078,2098
"BT_1555",25169.066,21866.36,18661.872,3747,2369,1524,2137,722,386
"BT_1556",3710.972,3352.415,2914.204,194,32,117,49,11,39
"BT_1557",1690.206,1510.336,1209.38,717.836,201.375,98,148,154.187,123
"BT_1558",7201.64,6808.18,7135.486,5069.518,1941.237,1536.403,801.647,1003.119,589.004
"BT_1559",776.154,845.484,934.26,2693.646,1000.388,570.597,112.353,297.694,306.996
"BT_1560",5268.308,5800.361,5696.902,1003.33,491,470,517,606.63,498
"BT_1561",2045.696,2025.639,2033.098,434.67,256,206,101,248.37,87
"BT_1562",619,450,607,265,65,45,176,241,192
"BT_1563",1282.282,1447.134,1208.268,91.441,6,46,106,112,119
"BT_1564",585.718,638.866,642.732,56.559,25,26,59,62,45
"BT_1565",126,88,112,11,11,0,0,0,0
"BT_1566",13107.43,13244.586,11292.847,1676,464,439,401,1738,1058
"BT_1567",1241.677,1598.975,1749.668,173,101,43,43,63,65
"BT_1568",318.776,280.656,199.901,94.569,66.885,43,41.57,4.574,42.688
"BT_1569",2646.354,3466.344,2948.099,4949.431,1193.115,847,329.43,736.426,1045.312
"BT_1570",103,105,98,56,42,34,32,15,25
"BT_1571",2,6,2,0,0,0,0,0,0
"BT_1572",352,248,355,1028,404,345,1938,675,433
"BT_1573",24996.511,24940.717,22898,344,202,134,464,364,178
"BT_1574",3350,5006,5750.021,245,111,93,128,171,133
"BT_1575",5488.856,5947.09,6438.709,82,52,31,87,140,59
