"","GC124697","GC124698","GC124699","GC124700","GC124701","GC124702","GC124703","GC124704","GC124705","GC124706","GC124707","GC124708","GC124709","GC124710","GC124711"
"BT_1182",57,119,174.214,111.275,57,52,19,25,66,0,3,0,0,0,9
"BT_1183",1463,1982,4524.924,2147,2116,2116,1024,1736,2059,19,22,175,58,253,140
"BT_1184",106,103,175,51,44,62,21,16,9,0,0,22,0,50,30
"BT_1185",8785,9262.023,12719.911,978,759,795,149,157,344,46,48,89,0,112,101
"BT_1186",28801,20135,26173.809,22088,21396.236,22721,2152,3376,3387,1053,1274,2593,641,3083,1437
"BT_1187",122,488,801,853,441,460,625,628,1257,15,14,71,36,77,24
"BT_1188",6,47,60.841,26,6,13,4,15,57,0,0,2,0,36,9
"BT_1189",42,85,117.159,26,17,19,12,27,52,0,10,14,9,43,63
"BT_1190",1115,1669,3143.322,1055,952,910,272,255,338,31,126,86,34,102,76
"BT_1191",733,737,1151.034,216,187,311,262,367,650,108,102,115,61,97,45
"BT_1192",1126,1115,1367,870,817,853.003,235,545,681,99,75,47,11,83,53
"BT_1193",3229,2185,3081.49,1688,1721.103,1899,194,439,495,57,59,104,0,92,39
"BT_1194",6941.132,11254.566,16028.131,31291.814,21074.527,26363.335,4997.177,6644.007,8562.891,2521,3259.441,5217.222,1877.387,9059.475,3891.13
"BT_1195",17703.868,9839.866,11063.729,14834.23,14390.583,16478.664,459.823,1036.993,633.109,758,1175.559,1560.778,535.613,2178.525,862.87
"BT_1196",5021,4905,5565,36713.868,33782,34629,8683,9893,13381,2726,3448,4444,1428,5990,3001
"BT_1197",4297,7131,9004,7094.132,4419,6047.003,932,1229,1378,530,731,1448,659,3581,1458
"BT_1198",1751,2229.424,3294.315,2138.263,1628.583,1898.925,473,788,936,36,34,80,10,129,30
"BT_1199",2552,2776.576,3348.108,3432.959,2875.417,2994.624,80,151,145,52,91,47.696,0,72.076,9
"BT_1200",1768,1860,2210.577,3973.778,2895,4931.451,3581,5023,6249,476,330,499.304,130,1158.924,594
"BT_1201",1646,1811,2772,2325,2076,1961,294,393,518,13,73,18,8,32,12
"BT_1202",5575.86,4660.283,6320.322,8315.855,6587.149,7897.703,1815.735,2703.106,2926.112,421,435.714,805,200,742,516
"BT_1203",1213.14,1600.717,1781.677,2411.145,1801.851,2526.297,311.265,602.894,702.888,124,241.286,388,150,501,271
"BT_1204",20502.88,28167.673,36575.515,32416.982,22659.082,30685.687,2402,3524,5267.283,410.193,407,623.912,247,1703.005,948
"BT_1205",26527.431,19850.288,21785.582,49522.153,42699.046,50915.656,2418,4295,3185.095,1056.807,874,930.088,223.04,1199.846,697.733
"BT_1206",1463.974,1267.741,1760.898,2995.865,3101.353,3272.611,340,243,341.621,547,377,228,52.96,346.149,81.267
"BT_1207",1506.026,3234.259,3650.102,2536,1211.357,1507.441,74,180,233,220,297,561,253,1252,572
"BT_1208",49,38,90.118,72,8,31,12,2,29,0,3,10,0,15,25
"BT_1209",4798,4440,4641.6,8745,5499,4839,637,559,695,166,145,231,129,276,80
"BT_1210",36104.336,23785.727,26933.29,55876.449,57504.537,50559.794,4157.133,6072.63,5627.309,652,697,685,108,966,665
"BT_1211",3396.741,1871.273,4020.834,2571.551,3454.469,3001.392,922.867,801.37,1502.691,58,36,97,0,89,65
"BT_1212",40,68,75,122,121,99,5,11,30,0,0,23,7,23,16
"BT_1213",106,119,116,164,155,152,30,51,12,0,8,0,0,16,19
"BT_1214",179,70,98,268,313,351,15,6,17,0,12,0,0,11,0
"BT_1215",456,245,236,1124,1400.99,1212.31,126,295,194,159,104,99,20,28,14
"BT_1216",1676,2285,2581,2127,1707.01,2405.69,165,354,416,28,45,77,43,81,52
"BT_1217",245,346,453,210,221,218,82,74,96,0,34,70,28,194,173
"BT_1218",683,785,783,2040,1432,2381,305,633,714,120,139,276,117,767,395
"BT_1219",6871,3390,7291.433,11476.998,11781,10545,1294,1256,1505,591,488,944,199,972,563
"BT_1220",23732.444,12542.041,12268.805,14392.541,12740.392,14387.894,1404,2526.502,2224,5555,7035,8581,1763,9200,4249
"BT_1221",83282.344,42610.959,57151.042,262189.294,295321.019,230930.974,30170,32353.498,28675,5895,7073,7356,1503,7018,3415
"BT_1222",62480,42417.657,61342.318,111369.26,111393.588,108344.801,7850,8254,15870,3193,3545,3530,754,3540,1862
"BT_1223",5995,3232,4029.258,8204,8808,10071.472,587,1883,1249,339,459,684,112,275,149
"BT_1224",7014,5420,9182.87,15398,15442.014,18597.55,1156,2363,1751,512,700,856,154,542,282
"BT_1225",2059,1937,3544.62,3444,3141.986,3728.129,107,393,195,54,130,134,41,166,116
"BT_1226",1312,2565,3183.731,4719,2406,3445.002,954,1682,2027,367,360,971,319,2178,971
"BT_1227",2452,2467,3048.269,10471.591,8399,9354.998,934,826,872,673,617,869,292,866,480
"BT_1228",9585,10115,15197.848,16294.522,12447.235,14500.069,824,944,1197,206,339,356,193,991,498
"BT_1229",11793,12088,17603.042,9621.478,8131,7868.931,513,515,926,114,185,112,53,181,124
"BT_1230",4,0,0,0,0,0,0,0,2,0,0,0,0,14,11
"BT_1231",114,40,53,150,161,100,143,84,138,180,157,80,0,22,3
"BT_1232",1084,318,536,422,528,639,7,82,46,0,12,8,0,14,0
"BT_1233",2155,1634,2313,3407,3018,3137,1484,1793,2461,768,613,639,71,714,242
"BT_1234",864,829,1105,493,398,501,243,582,478,51,79,113,31,184,130
"BT_1235",833,845,1374.827,736.995,639,615,346,381,581.232,27,23,9,0,113,42
"BT_1236",2263,1129.195,1888.338,3761.005,4352.696,4118,560,558,732.768,158,200,114,84,361,187
"BT_1237",5026,3904.805,7661.896,3823,3765.516,3726,592,775,1638,243,139,218,92,589,342
"BT_1238",2872,3579,4631.02,3777,2737,3407.189,202,395,569,151,350,582,54,949,511
"BT_1239",77553.173,31887,44113.814,63197.683,69149.168,52169.021,6006,5849,7881,2113,1959,2067,351,1141,538
"BT_1240",2118,2943,4402.677,6461,3832,5342,2281,5195,6286.212,67,218,619,172,1619,939
"BT_1241",6,3,5,0,0,0,0,0,0,0,0,0,24,16,0
"BT_1242",21025,21197,36846.11,7232,7508,8157,706,1117,1550,342,527,475,153,919,370
"BT_1243",10781,5934.112,7794.591,36321.886,28085.044,36842.932,292718.217,416652.903,602048.271,185066,210994,275795.54,62244.507,286505.66,149603
"BT_1244",3606,2722,7145.839,16277.742,14484.956,16415.866,58734.783,80044.097,149398.514,40755,42441,63641,29483.493,126381.34,67339
"BT_1245",36.535,160.658,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT_1246",1560.15,952.587,0,0,74.802,98.231,0,0.001,0,33.398,38.875,165.597,0,0,0
"BT_1247",1181,967,1200,1983,2034,2035,2134,2612,5529,338,393,410,113,656,329
"BT_1248",2964,1413,2655.219,3550,3090,2450.565,400,334,517,143,74,106,0,92,27
"BT_1249",970,646.916,1093.829,975.981,897.155,1028.775,75,265,196.27,32,19,32,0,83,50.033
"BT_1250",1431,1627.084,2682.552,5432.904,6483.844,5628.298,539,496,1417.73,192,256,159,40,249,180.967
"BT_1251",471,581,1438.399,859.115,712.002,1000.363,255,503,558,12,61,61,26,119,22
"BT_1252",369,664,497.681,155.521,125,152.019,11,46,83,5,11,0,0,50,0
"BT_1253",141,99,218.03,93.942,85.559,86.361,0,9,15,0,0,0,0,5,0
"BT_1254",543,638,905.289,245.537,162.441,229.621,37,53,108,0,41,0,13,47,36
"BT_1255",1638,1160.999,1561.022,1462.26,1309.593,1164.997,1273,1084.793,1940.179,963,1130,1301,271,1398,619
"BT_1256",55,110.001,228.978,141.74,80.407,117.003,178,307.207,303.821,50,37,104,14,221,56
"BT_1257",2032,1462,2151,4590,4760,4266,10048,8119,9157,3679,3699,3871,376,2489,1108
"BT_1258",134,231,1064,1388,669,603,808,688,1230,27,18,8,8,110,26
"BT_1259",13671,7478,17898.464,183345.95,184253.999,202789.258,22136,32904,29132,5373,5728,5769,454,1509,728
"BT_1260",1512,954,998.709,982,831,996,109,232,245,18,30,31,0,94,38
"BT_1261",287,279,505.301,191,156,222,48,129,217,53,43,76,0,197,46
"BT_1262",143,149,334.021,143,118,131,697,871,1024,156,287,424,96,701,363
"BT_1263",450,481,399,493,380,405,119,200,148,215,349,231,125,385,213
"BT_1264",2730,3643,5399.147,872,653,699,265,352,571,3,78,101,42,225,230
"BT_1265",232,195.821,390.275,634,608.999,509,18,68,46.137,0,6,0,15,14,42
"BT_1266",949,911.179,1383.725,903,764.001,868,299,206,493.863,76,92,178,52,160,47
"BT_1267",39,24,45,2583.546,2512.813,2719,12967,20042,16309,4844,5856,6721.595,664,3461.788,1783.341
"BT_1268",86,55,63,1563.519,1693.187,1499,2086,2044,3363,1660,2039,2211.405,753,3315.212,1627.659
"BT_1269",8,1,17,254,125,223,3171,4095,7842,270,281,408,219,1067,362
"BT_1270",19476,9677,12399.695,20853.087,22763,22663.003,485,802,677,354,412,382,39,103,87
"BT_1271",30683,88144,98125.494,12329.913,4836,6714.998,516,920,728,132,200,304,55,303,145
"BT_1272",369,434,558.291,422,139,248.75,151,216.999,215,10,63,33,0,118,65
"BT_1273",603,688,1130,563,465,558.25,36,70.001,60,27,116,192,88,263,115
"BT_1274",581,656,1111.015,722,507,724,64,197,202,0,33,8,0,101,42
"BT_1275",392,275,456.184,141,181,123,47,92,89,7,61,60,5,4,38
"BT_1276",677,296,245.801,76,138,99,28,11,17,7,0,13,0,31,10
"BT_1277",223,149,132,50,29,94,23,13,17,0,6,34,0,94,3
"BT_1278",143,182,283,36,31,63,0,45,6,0,0,0,0,39,0
"BT_1279",155,137,191,26,16,19,28,29,17,0,0,0,0,8,20
"BT_1280",38,52,111,8,13,18,23,30,64,0,11,3,0,24,8
"BT_1281",5,6,11,3,6,0,9,0,0,4,0,0,0,0,0
"BT_1282",2,6,6,4,26,20,10,23,34,0,0,0,0,13,0
"BT_1283",9,10,9,10,6,4,0,9,8,0,7,0,0,0,0
"BT_1284",34,19,17,27,17,12,29,17,25,0,11,7,14,18,0
"BT_1285",30,21,37,26,9,4,14,79,68,0,7,21,0,20,18
"BT_1286",1,1,5,9,11,15,41,53,105,0,10,20,15,29,7
"BT_1287",82,89,142,58,67,56,356,426,528,82,112,222,150,470,204
"BT_1288",1037,1244.102,2688.209,1090,603,692,43,66,99,62,37,106,28,258,66
"BT_1289",2312,2318.43,2562.714,809.226,453.554,625.034,10,18,31,0,18,40,8,116,66
"BT_1290",1048.917,1310.748,1742.235,590.617,424.056,367.432,63.121,54.176,77,27,53,64,9,166.002,60
"BT_1291",6452.083,8626.731,10117.777,5414.156,3985.389,4479.534,1609.879,2146.824,3074,613,582,809,177,641.998,362
"BT_1292",11339.759,28847.154,33470.747,44996.018,20245.618,26362.255,8246,8533,13031,1940,2195,3411,803,3607,1335
"BT_1293",32666,46519.203,52914.022,48596.911,48476.618,42885.977,8131,6680.009,7079.006,2704,3076,3597,994,4688,2271
"BT_1294",28230,43258.966,44962.832,25164.492,19032.382,20451.063,2249,2367.991,3093,1085,1053,1455,421,1547,647
"BT_1295",8023,5837,8212.191,6755.328,6010.104,5337.638,207,124,171,116,145,79,42,88,122
"BT_1296",13050.929,9684,11274.033,7950.672,7250,7079.362,284,469,351,109,330,213,176,354,133
"BT_1297",8364.113,4886,5495.396,2855.79,3022.723,3253.743,31,39,37,65,48,52,24,134,26
"BT_1298",13867,9851.423,12861.067,21835.618,22587.277,21256.818,805,839,1082,573,752,486,82,457,166
"BT_1299",5565.993,6188.573,9680.548,8089.035,6741.168,6594.236,261,183.472,361,121,78,187,54,376.402,129
"BT_1300",1584.537,2828.368,3011.506,1105.681,934.328,965.257,74,120.528,291.716,21,14,75,0,145.598,60
"BT_1301",2716.463,4215.635,5174.556,1194.876,855.672,1177.743,212,334,354.284,32,49,53,20,92,90
"BT_1302",22,25,88,74.798,140.813,59,16,16,0,0,13,1,0,0,9
"BT_1303",63,70,175,55.202,31.187,40,18,1,28,0,10,7,0,54,0
"BT_1304",24,37,78.475,10,9,16,0,0,28,7,0,0,0,31,0
"BT_1305",57,112.155,260.963,42,44,59,25,48,45.364,0,15,23,39,13,19
"BT_1306",478,588.845,1783.562,688,678,647,116,115,305.636,17,9,37,0,124,43
"BT_1307",11012,6619,24240,6921,6529,11679,460,2234,1329,0,64,41,9,116,44
"BT_1308",2020,2659,3748.55,1916,931,940,294,324,423,150,133,230,32,359,147
"BT_1309",657,1164,1942.607,383,220,337.349,316.045,429.364,423.283,453,471.174,1174.021,396,2496.86,959.294
"BT_1310",1480.041,1986,3060.653,3921.147,3270.043,2922.818,3231.094,2736.835,5236.761,2467,2569.826,3679.979,1158,5741.14,2492.706
"BT_1311",110023.889,135932.961,145657.839,86005.717,58903.233,64152.034,29768.3,30795.635,40225.169,20676.002,26239,35458.598,9625,41831,20575.209
"BT_1312",14595.07,10934.039,13374.333,148762.33,117928.745,125556.739,313178.398,322506.167,544782.682,136631.998,152344,207004.402,49045,229684,110094.791
"BT_1313",697,744.221,1824.588,6202.051,5883.026,4605.213,668,494,889,67,195,149,49,359,128
"BT_1314",2789,1751.779,2582.438,11227,10351.002,10012,1292,1690,2140,421,428,525,48,284,110
"BT_1315",1420,1879,3113.081,1279,1178,1370,144,205,375,53,57,89,12,126,134
"BT_1316",827,873,1805.488,878.941,613.976,651.657,267.994,316.67,494,269,271,385,91,881,327.196
"BT_1317",269,479,1465.245,1585.059,888.024,1065.343,796.006,936.33,1655,129,170,189,54,550,142.804
"BT_1318",807,431,466,1100,1336,1496,51,47,63,59,47,28,36,68,42
"BT_1319",2,17,28,17,8,31,1,36,24,15,20,0,6,29,23
"BT_1320",179,113,191,772,788,730,212,336.996,324,618,544,1071,253,1713,714
"BT_1321",250,201,296.405,2056.617,1766.233,1642.146,743.703,701.314,1248.634,263.401,298.001,530.303,189,964.041,295
"BT_1322",242,167,316.393,3690.328,3923.789,3708.016,1456.951,1643.69,1784.366,311.599,603.999,646.697,69,747.959,245
"BT_1323",74,103,136.202,3647.055,3922.978,3493.042,1147.346,1471,1505,316,378,312,123,382,247
"BT_1324",105,162,122.041,329,296,429.118,183,386.756,445,113,97,100,44,187,56
"BT_1325",7372,11741.105,14754.061,13576,9091,12691.882,1581,1946.244,2661,646,564,1130,172,1355,590
"BT_1326",1900,3469.895,4960.316,2056,1251.885,1630,55,85,81,89,48,90,90,370,272
"BT_1327",224,553,828.679,279,113,151,0,0,14,18,58,61,0,282,97
"BT_1328",12269,11827.152,9254.638,7018.411,5735.15,7605.961,170.273,223,305,261,425,481,273,1096.475,588
"BT_1329",19514,22729.848,25541.028,18699.52,12502.85,15759.112,1500.727,1591,2156,353,491,918,314,1345.525,582
"BT_1330",1117,1915,1601.995,3514.418,2676.676,3100.044,162,136,239,43,87,113,66,170,127
"BT_1331",1563.118,2565.746,4720.536,3624.599,2737.269,3550.617,1333.058,1529.152,1667.333,395,338,468,149,787,387
"BT_1332",4410.132,4369.937,4546.917,2514.761,1892.747,2930.013,188.916,495.848,458.667,170,145.947,265,150,627.482,255.361
"BT_1333",6028.756,12307.316,15034.613,7554.222,4779.308,6882.327,402.027,554,613,328,440.053,767,468,1819.518,926.639
"BT_1334",1386,1927,2379,6555,5145,6063,11110,13557,22758,4032,5009,7294,2425,8811,4275
"BT_1335",2015,1996,3603.083,4990,4012,4400,334,337,539,163,98,161,118,353,191
"BT_1336",1169,648,4064.21,6671,8198,11282,769,2011,1065,77,128,259,24,272,130
"BT_1337",6746,4180,7976.02,2942,2897,2510,243,253,351,606,385,460,98,389,303
"BT_1338",1128,913,1567,360,231,183,21,47,44,28,31,42,41,171,32
"BT_1339",1041,1114.501,2272.341,915.124,339.104,365.472,114,87,125,104,67,94,118,277,163
"BT_1340",1487,981.032,2078.752,556.207,266.896,295.528,222,212,429.469,117,75,115,15,159,135
"BT_1341",819,1632.468,4377.562,2387.452,711.716,759.683,438,454.001,810.531,89,46,64,11,269,126
"BT_1342",2053,1641,2782.466,789.38,336.708,418.054,85,80.999,139,20,19,26,18,148,102
"BT_1343",1819,1433.381,2140.15,646.835,408.841,366.719,23,38,103.577,63,12,13,0,88,0
"BT_1344",2259,1986.619,3595.457,1640.515,1164.42,1139.91,42,105,164.422,44,15,51,10,106,69
"BT_1345",1216.933,1071.396,2587.788,1909.362,1071.715,1070.003,81,19.855,76.002,20,18,21.065,0,76,10
"BT_1346",2420.061,2051.601,5010.59,2946.01,1473.883,1474.277,235,162.145,297,71,70,135.935,0,148,102
"BT_1347",2710.006,2336.006,3464.24,2093.067,1470.716,1504.049,231.772,121,226,158,111,209,0,146,33
"BT_1348",2959.48,2617.355,3915.223,1405.631,978.812,1078.525,144.228,153,194,105,68,161,19,151,50
"BT_1349",731.52,1176.609,2400.762,1666.415,889.188,848.102,111,87,205,13,14,20,25,41,66
"BT_1350",833,1373.882,3224.321,1488.17,804.125,723.198,52,74,105,59,44.792,46,44,221,130
"BT_1351",704,881.118,2679.027,1918.246,1139.128,1092.802,93,102,193,12,23.208,48,0,123,61
"BT_1352",1300.326,1045.457,2293.185,1569.907,832.966,876.032,134,43,169.002,79,38,81,48,180.07,64
"BT_1353",2922.656,2876.923,6039.983,4814.19,3074.62,2739.613,534.538,306.807,576.238,498,333.89,403,120,523.93,118
"BT_1354",2404.018,1234.62,3218.056,2273.465,1856.162,1708.4,188.462,123.193,329.76,225,130.11,104,11,150,96
"BT_1355",3344.809,3754.665,7403.683,3484.662,1762.849,1962.886,519,344,685,220,288,260.985,76,400,196
"BT_1356",59852.494,40902.89,60093.198,40385.854,35839.514,45149.452,908,1498,1410,601,417,721.015,262,1226,618
"BT_1357",338298.867,100621.58,79416.954,194890.519,250747.186,215324.919,48790.732,191959.447,75821.51,30540.116,42202.477,63716.955,4807.911,24115.822,11810.751
"BT_1358",52244,28169.096,42856.295,57012.941,63878.815,64659.65,14971,21523,21779,6526,8688,9618,1999,7881,3617
"BT_1359",13271,9574,18177.016,21398.985,19944,18910.158,1707,2374,1932,1686,1590,1623,366,1767,815
"BT_1360",10739.512,7206.14,9739.078,7748.053,6945.85,8234.254,32,126,75,183,254.144,258,75,482,244.799
"BT_1361",14565.721,10404.499,13426.738,17329.158,16023.146,16697.319,237,419,559,671,420.856,871,330,1238.338,499.201
"BT_1362",31949.715,19842.693,25240.771,63938.025,61036.837,55952.711,23613,22336,17771.53,3627,3322,4398.571,437,1825.662,876
"BT_1363",5031.371,4668.187,5720.942,3474.548,2670.548,3259.223,122,167,168.47,156,131,290.434,74,432,189
"BT_1364",33479,34243.481,40462.374,18471.04,14906.619,18671.887,2155,3851,4132,983,1240,1778.995,238,1716,748
"BT_1365",5599,8146,17673.222,4628,2676,3529,646,851,969,447,301,887,208,900,406
"BT_1366",3009.827,2541.496,4880.556,16034.743,17243.999,18462.769,457,732,1036,58,150,121,39,426,289
"BT_1367",2809.173,2135.273,4231.652,4183.494,4864.949,5012.28,841.566,916.937,1207.176,160,203,196,62,208,123
"BT_1368",13407,8659.231,16317.672,38717.062,36014.614,37965.663,3723.434,4894.063,4798.824,2334,2391,2521,376,1895,919
"BT_1369",9698,7096.497,12244.04,7968.889,8371.532,8561.942,3995,5530,4851,552,623,653,83,512,174
"BT_1370",61997.324,33012.503,33798.148,17590.041,18625.087,20114.345,1919,2940,3589,777,1080,916,161,1028,575
"BT_1371",3615,5772.625,8002,5679.683,3596.998,5092,1185,2380,3053,918,1079,1698,570,2839,1088
"BT_1372",305,641.375,784,532.317,270.002,347,17,56,62,79,5,42,0,109,43
"BT_1373",155236.898,229025.663,166719.739,69435.975,39346,49809.091,6967,8061,10273,2311,2713,4180,1996,8211,3946
"BT_1374",13403.356,10278.871,11761.329,3138.328,2740.348,3018,95,129,146,176,134,89,83,320,208
"BT_1375",59390.74,50159.42,55269.701,16686.049,13429.923,16183,720,1121,822,872,1283,1432,633,3062,1448
"BT_1376",13165.468,11008.986,16775.492,13150.206,11698.857,13125.574,1742,2646.729,2526.785,1046,1318,1257,331,1575.732,754.378
"BT_1377",21938.532,13009.642,16625.497,14740.662,16227.807,19647.426,1542,1771.271,2539.215,559,748,1116,276,1388.268,516.622
"BT_1378",2081,2258,4417.625,2521.013,2116.052,2256.113,130,109,118,46,62,66,10,147,120
"BT_1379",1079,1528,4152.595,2402,2076,1961.887,196,178,162,0,48,81,22,159,24
"BT_1380",90428.616,49428.581,57019.518,36378.105,31762.533,28053.942,806,479.222,626.346,288,190,270,77,301,43
"BT_1381",4339.026,5465.418,6152.594,6300.895,4158.467,5204.552,569,717.778,751.654,141,160,274,31,203,51
"BT_1382",215,506,1003,1280,602,732,680,782,1040,223,249,352,73,839,478
"BT_1383",228,516,574.005,10503,3920,5450,766,500,696,329,403,734,330,1352,680
"BT_1384",21,65,89.992,28,12.126,24,17,16.997,17,0,10,10,0,0,26
"BT_1385",1190,880,809.788,335,217.874,264,116,119.003,158,4,12,0,0,7,17
"BT_1386",1261,950,1467.816,183,187,220,24,10,8,0,0,0,0,9,0
"BT_1387",3237,2401,5023.655,892,767,666,111,168,149,19,17,19,0,23,5
"BT_1388",637,452,491.377,320.632,274,318,12,19,11,15,24,58,0,64,26
"BT_1389",287,463,538.389,402.801,288.571,331.701,74,49,40.875,0,35.011,44,28,113,72.011
"BT_1390",919,1180,1803.48,1466.567,1063.429,1082.299,228,360,620.125,0,28.989,30,0,30,32.989
"BT_1391",29250,54000.447,56198.83,39327.446,26551,32698.615,3176,3254,3601,1742,1933,3393,982,4652,2289
"BT_1392",41,56,103,135,102,139,13,22,28,0,0,0,0,5,19
"BT_1393",907,575,746,17338.001,16556,19922.291,2188,3831,3175,1678,2176,3274,455,2581,1199
"BT_1394",25,9,17,418,467.097,519.419,10,16,20,0,38,27,0,40,20
"BT_1395",59,64,60,1480,1372.903,1594.733,89,170,98,0,56,41,13,45,0
"BT_1396",912,980,1163,1104,641,822,420,630,869,93,45,59,56,68,35
"BT_1397",3540,1346,1691.775,31955.509,35436.108,36506.036,4181.874,7052.267,4384,1126,1484.99,2194.008,216,1426,606
"BT_1398",463,218,272.225,11551.491,12781.968,11479.231,321.112,369.733,259,131,104.01,115.744,91,143,54
"BT_1399",303,98,180,11986.507,10901.795,11380.593,928.013,810,745,164,230,342.248,54,248,72
"BT_1400",336,154,212,8979.493,8402.042,10721.99,2671,6279,3681,1398,1904,2878,261,876,426
"BT_1401",40,59,68,2109,1848.085,1635,62,134,56,16,34,21,0,17,36
"BT_1402",41,33,43,2038,1596.003,1539,9,70,65,27,0,0,21,6,8
"BT_1403",563,908,1099,24250.025,13940,18531.534,471,518,535,310,446,959,229,989,654
"BT_1404",208,210,284,352,241,303,587,522,762,46,89,197,6,138,97
"BT_1405",19,9,16,18,17,15,0,3,12,0,0,9,10,0,0
"BT_1406",551,1038,1325,334,230.173,262.242,123,80,173,0,15,11,0,18,17
"BT_1407",2883,2270,3900.732,7380,7459.827,7151.758,715,1223,1024,391,303,471,131,460,337
"BT_1408",1619,2320.193,3382.048,2156,1488,1787,82,131,181,29,5,13,31,30,24
"BT_1409",80,220.807,302.743,152,93,117,11,0,11,0,11,8,0,0,0
"BT_1410",167,578,818.257,352,143,172,23,40,54,0,0,13,0,30,5
"BT_1411",318,381,816,959,809,801,1108,1036,1410,83,104,107,0,41,37
"BT_1412",792,640,1041,39519.622,31943.998,28877.973,855,438,1047,513,725,695,87,555,236
"BT_1413",3717,2192,3185,617,566,737,164,179,123,9,23,25,10,56,24
"BT_1414",110,177,307,284.814,232,207,85,61,51,21,64,31,33,158,62
"BT_1415",70,95,184,103.186,110,101,20,38,22,9,14,7,0,112,21
"BT_1416",4259,2469,4172.612,4968,6808.367,5172,1826,2058,1829,742,796,782,112,357,219
"BT_1417",3346,2491.002,3732.757,3476.986,3629.633,3198,162,142,185,83,94,104,24,66,44
"BT_1418",171,178,226.243,232.014,140,170,8,11,3,8,0,9,0,19,0
"BT_1419",46,107,102.094,268.159,155,194,100,110,93.944,167,205,295,86,422,189
"BT_1420",12721.391,6720.088,8014.857,38833.549,42134.429,42127.055,93856,129708,101799.056,43709.17,52025,50503,3321,15966,7932
"BT_1421",13526.609,6850.912,14980.089,25863.292,24396.571,23566.974,4460,3120,4662,466.83,346,283,50,119,71
"BT_1422",157,239.939,600.766,467.974,246.849,292.76,158.346,142,267.995,43,32,9,11,133,34
"BT_1423",179,287.061,398.234,257.026,175.151,167.295,61.654,94,104.005,21,77,70,10,142,55
"BT_1424",1203,1937,3019,724,400,592,74,81,126,10,17,0,0,8,9
"BT_1425",132,388,735.086,490,280,287,345,179,262,63,39,106,56,229,194
"BT_1426",20,10,37.245,3,8,4,8,16,9,17,4,0,0,19,23
"BT_1427",257,278,373.755,310,271,177,47,8,62,0,0,0,0,0,0
"BT_1428",7820,4235,3650.006,1133,1006,1245.643,105,132,85,62,134,185,1,249,117
"BT_1429",127,90,164,42,68,42,35,28,26,0,6,15,0,37,0
"BT_1430",19816,9522,11461.815,46175,52571,42698.922,20822,17713,22368,8433,9950,8355,553,2150,923
"BT_1431",4360,2072,3398.629,5942,7318,6024,1875,2014,2582,725,597,627,81,252,126
"BT_1432",1863,1888.663,2448.165,1491,973.805,1178.999,73,88,130,216,220,287,70,395,223
"BT_1433",322.037,548.337,772.371,525,274.195,330.001,39,55,74,44,70,119,43,194,71
"BT_1434",627,1018,967.463,830,340,458,488,325,471,11,24,39,29,72,9
"BT_1435",8531,1811,8479.659,113006.207,169932.056,226254.88,1508,4819,2386,1612,1702,3119,434,2696,1062
"BT_1436",39,40,111.789,277,228,193.002,70,33,55,0,7,10,0,3,24
"BT_1437",23066,8665,12436.215,54529.999,63877.999,57830.101,14584,16535,19596,3606,3570,5105,459,2138,1004
"BT_1438",975,1056,1402.978,320.303,277,240,0,3,5,0,10,7,0,23,32
"BT_1439",35423.159,23369.345,22519.264,52558.978,49054.91,50643.552,953,1307,1164,252,379,606,180,912,419
"BT_1440",79574.943,63043.192,66623.56,83249.175,82628.294,82316.951,1897,2279,2473,954,1002,1101,118,523,346
"BT_1441",374,531,724.185,528,527,597,88,102,197,0,25,22,13,8,28
"BT_1442",5074,4705.998,6713.546,7060,5849,6477.82,233,438,324,16,45,39,0,48,3
"BT_1443",121,204.002,258.269,305.299,184,207.533,31,54,40,0,8,8,17,23,8
"BT_1444",147,144,169,183.393,95,165.647,0,0,10,9,0,0,0,0,0
"BT_1445",100,106,96,49.308,33,61,0,0,4,0,0,33,0,39,0
"BT_1446",62,141,118,117,89,83,2,3,21,0,25,29,17,13,6
"BT_1447",8377,8214,14323.46,16617,16248,17168,1269,1927,1783,261,167,257,28,259,66
"BT_1448",254,86,138,1036,1215,1243,124,87,161,37,16,34,40,94,75
"BT_1449",1110,845,1016.17,6400,6770.242,7336.238,460,568,593,218,205,367,157,570,214
"BT_1450",19314,10502,9894.83,21987,24230.758,22703.762,1951,2274,2789,376,467,499,93,356,165
"BT_1451",1143,1103,1207.34,5474.763,3499.803,5950.218,75,89,103,0,0,19,0,13,19
"BT_1452",1589,1201,1312.66,8541.237,4983.133,6819.782,170,142,216,123,109,316,48,237,161
"BT_1453",8940.95,6682.426,6868.071,19286,18407,17391.616,837,720,950,413,324,270,85,180,177
"BT_1454",1517,802,1991.374,452,436,471,64,107,112,0,35,35,0,5,14
"BT_1455",2713,3860,7252.741,781,588,581,283,323,620,35,135,110,0,59,81
"BT_1456",48005,52785,39253.938,15362,9729,6601,1116,1211,984,1268,1722,2272,308,1491,723
"BT_1457",126,175,359.422,105,71,80,24,8,29,0,0,6,0,0,0
"BT_1458",664,623,807.521,207.04,155,167,0,13,5,0,0,0,0,5,25
"BT_1459",1509.101,1231,1450.057,1666,1412,1284,386,571,763,59,36,49,6,38,17
"BT_1460",107,97,188,213,220,237,65,98,164,24,15,5,13,83,16
