,GC124661,GC124662,GC124663,GC124664,GC124665,GC124666,GC124667,GC124668,GC124669,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124697,GC124698,GC124699,GC124700,GC124701,GC124702,GC124703,GC124704,GC124705,GC124706,GC124707,GC124708,GC124709,GC124710,GC124711,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
BT_0647,3802,4433.299,3957,2948,2709,2448,617,531,770,1088,1254.987,1140.956,885,214,255,315,161,229,1830,2265,3211.122,3859,2743,3209.883,1268,1626,2356,313,435,539,393,1838,858,2724,2936.078,2890,3772,3952,3109,2935.996,3658,2773,143,152,237,761,404,416
BT_0648,82,100.955,93.999,76,36,59,0,8,33,24,23.013,50,19,0,0,0,0,0,40,66,164.878,43,21,40,0,19,14,0,0,13,0,49,5,42,132,116,61,46,56,17.004,10,7,17,18,0,5,2,9
BT_0649,404,472.746,367.697,368,282,342,8,32,24,425,421,360,12,24,0,27,0,0,551,481,597.382,507,504,545,31,14,7,0,26,54,0,45,55,434,572,508,459,520,351,12,10,2.695,16,0,19,31,26,19
BT_0650,1121.356,1168,1083.456,769,597,1004,98,116,45,799,817,839,83,15,11,77,56,53,1307.002,1339,1631.057,1022,887,1171,56,128,103,31,52,137,26,163,70,1001,1334.997,1418,1059,1204,888,115,234,169.305,46,11,40,49,10,26
BT_0651,545.587,603.396,511.233,236,274,217,40,21,18,357.313,317,348,10,0,19,28,30,16,720.998,505,862.738,433,455,599,16,32,53,0,23,32,10,60,21,442,758.003,803.527,354,396,293,1,2,84,0,0,15,19,0,4
BT_0652,743.824,913.517,870.875,259,272,246,48,40,123,757.687,684,617.369,138.63,54,34,88,57,16,471,447,1330.996,1614.158,2310,1939.988,551,594,467.265,13,10,67,31,27,10,579,964.008,892.674,2174.903,1955.008,1408.214,383,213,179,29,68,59,54,41,54
BT_0653,7571.182,8689.949,7118.892,22172,12743,16761,366,533,198,24561.332,21101.645,18397.631,582.37,151,46,568,845,537,13539,6113,9622.494,37808.842,46842.994,46291.019,460,654,633.735,318,374,379,37,221,68,9475,12282.988,11355.799,61235.562,72486.322,52836.785,1190,1550,934,692,222,658,219,154,137
BT_0654,2704.015,4131.565,2540.993,4999,3849,4273,293,205,303,1851.144,1574.229,1822,251,133,47,357,192,153,1460,1634,1628.953,3398,2573.006,3569.001,275,661,506,111,97,254,62,271,159,1820,1849.004,1664,6334.15,6234.001,4573.012,642,842,652,11,27,3,169,135,87
BT_0655,61789.495,93660.883,49141.061,87477,69566,83821.929,1093,1501,1458,44919.307,42185,47326.784,1146,616,611,273,813,417,72388.494,77818.963,67258.069,84452,62892,83558.868,1996,2581,2803,821,1042,1592,637,2663,1321,56856,72160.526,62675.524,100406.438,117844.673,92658.988,2103,2545,1499,412,207,321,712,328,539
BT_0656,335,434,300,14199,11435,15390,443,564,843,10017.221,7246,10450.926,487,152,63,254,253,398,258,357,319,12472,10116.225,13023,742,1072,1153,422,333,682,234,1013,597,381,522,530,15506,19551.54,14485,1506,1309,1181,181,97,233,433,217,253
